# w(nm)	HiR-Si	Si-SiN	Al2O3	SiO2
9.810999999999999943e+01	1.443615902344830374e+03	1.508074151183273443e+03	1.376479145421476460e+03	1.650997309617632254e+03
9.893999999999999773e+01	1.442325908040122840e+03	1.506249870523905656e+03	1.374746000462884695e+03	1.649431056470579279e+03
9.976999999999999602e+01	1.441052280260395946e+03	1.504448735032601235e+03	1.373034844407776063e+03	1.647884674823085334e+03
1.005999999999999943e+02	1.439794661043306178e+03	1.502670238487140978e+03	1.371345196323305572e+03	1.646357730053350224e+03
1.014299999999999926e+02	1.438552703156778534e+03	1.500913889839806870e+03	1.369676589693056258e+03	1.644849800567783404e+03
1.022599999999999909e+02	1.437326069693236832e+03	1.499179212643554365e+03	1.368028571871877602e+03	1.643360477308338432e+03
1.030899999999999892e+02	1.436114433682290382e+03	1.497465744504278973e+03	1.366400703565516324e+03	1.641889363282251225e+03
1.039200000000000017e+02	1.434917477720900933e+03	1.495773036557810428e+03	1.364792558333736906e+03	1.640436073113008661e+03
1.047500000000000000e+02	1.433734893620109460e+03	1.494100652970319970e+03	1.363203722115687015e+03	1.639000232611418824e+03
1.055799999999999983e+02	1.432566382067456288e+03	1.492448170460921119e+03	1.361633792776350674e+03	1.637581478365735393e+03
1.064099999999999966e+02	1.431411652304285781e+03	1.490815177845325479e+03	1.360082379672997376e+03	1.636179457349858467e+03
1.072399999999999949e+02	1.430270421817165698e+03	1.489201275599450355e+03	1.358549103240593695e+03	1.634793826548666857e+03
1.080699999999999932e+02	1.429142416042705690e+03	1.487606075441982284e+03	1.357033594595219483e+03	1.633424252599623060e+03
1.088999999999999915e+02	1.428027368085090984e+03	1.486029199934919234e+03	1.355535495154566433e+03	1.632070411449816447e+03
1.097299999999999898e+02	1.426925018445698697e+03	1.484470282101200610e+03	1.354054456274669292e+03	1.630731988027674106e+03
1.105599999999999881e+02	1.425835114764190394e+03	1.482928965058564472e+03	1.352590138902054832e+03	1.629408675928606726e+03
1.113900000000000006e+02	1.424757411570510158e+03	1.481404901668831144e+03	1.351142213240547335e+03	1.628100177113898098e+03
1.122199999999999989e+02	1.423691670047260686e+03	1.479897754201858334e+03	1.349710358432009343e+03	1.626806201622189747e+03
1.130499999999999972e+02	1.422637657801940577e+03	1.478407194013447452e+03	1.348294262250341262e+03	1.625526467292944744e+03
1.138799999999999955e+02	1.421595148648573286e+03	1.476932901236524913e+03	1.346893620808087917e+03	1.624260699501308409e+03
1.147099999999999937e+02	1.420563922398272098e+03	1.475474564484965867e+03	1.345508138275060901e+03	1.623008630903824042e+03
1.155399999999999920e+02	1.419543764658315240e+03	1.474031880569451005e+03	1.344137526608387134e+03	1.621770001194477800e+03
1.163699999999999903e+02	1.418534466639328002e+03	1.472604554224786170e+03	1.342781505293455211e+03	1.620544556870588622e+03
1.171999999999999886e+02	1.417535824970189879e+03	1.471192297848150247e+03	1.341439801095234998e+03	1.619332051008075723e+03
1.180300000000000011e+02	1.416547641520306570e+03	1.469794831247754701e+03	1.340112147819496386e+03	1.618132243045670521e+03
1.188599999999999994e+02	1.415569723228901694e+03	1.468411881401432538e+03	1.338798286083457924e+03	1.616944898577648928e+03
1.196899999999999977e+02	1.414601881941010106e+03	1.467043182224703742e+03	1.337497963095437854e+03	1.615769789154703176e+03
1.205199999999999960e+02	1.413643934249858830e+03	1.465688474347874035e+03	1.336210932443089860e+03	1.614606692092567300e+03
1.213499999999999943e+02	1.412695701345353427e+03	1.464347504901766570e+03	1.334936953889838151e+03	1.613455390288054332e+03
1.221799999999999926e+02	1.411757008868384673e+03	1.463020027311688409e+03	1.333675793179136235e+03	1.612315672042165943e+03
1.230099999999999909e+02	1.410827686770702485e+03	1.461705801099264136e+03	1.332427221846202428e+03	1.611187330889953955e+03
1.238399999999999892e+02	1.409907569180104929e+03	1.460404591691791666e+03	1.331191017036897392e+03	1.610070165436840398e+03
1.246699999999999875e+02	1.408996494270705398e+03	1.459116170238776704e+03	1.329966961333424251e+03	1.608963979201102347e+03
1.255000000000000000e+02	1.408094304138060807e+03	1.457840313435339795e+03	1.328754842586560017e+03	1.607868580462256432e+03
1.263299999999999983e+02	1.407200844678939575e+03	1.456576803352189927e+03	1.327554453754120232e+03	1.606783782115080840e+03
1.271599999999999966e+02	1.406315965475535904e+03	1.455325427271880926e+03	1.326365592745396953e+03	1.605709401529030629e+03
1.279899999999999949e+02	1.405439519683933213e+03	1.454085977531079379e+03	1.325188062271307444e+03	1.604645260412818061e+03
1.288199999999999932e+02	1.404571363926637787e+03	1.452858251368589436e+03	1.324021669700008488e+03	1.603591184683929896e+03
1.296500000000000057e+02	1.403711358189008251e+03	1.451642050778883231e+03	1.322866226917747099e+03	1.602547004342876789e+03
1.304799999999999898e+02	1.402859365719413290e+03	1.450437182370908886e+03	1.321721550194719839e+03	1.601512553351970382e+03
1.313100000000000023e+02	1.402015252932966177e+03	1.449243457231952107e+03	1.320587460055736301e+03	1.600487669518440271e+03
1.321399999999999864e+02	1.401178889318680831e+03	1.448060690796339713e+03	1.319463781155482138e+03	1.599472194381709414e+03
1.329699999999999989e+02	1.400350147349912959e+03	1.446888702718785908e+03	1.318350342158192234e+03	1.598465973104653358e+03
1.337999999999999829e+02	1.399528902397945558e+03	1.445727316752188926e+03	1.317246975621551655e+03	1.597468854368681605e+03
1.346299999999999955e+02	1.398715032648591205e+03	1.444576360629690498e+03	1.316153517884648409e+03	1.596480690272479478e+03
1.354599999999999795e+02	1.397908419021691998e+03	1.443435665950834164e+03	1.315069808959818147e+03	1.595501336234266546e+03
1.362899999999999920e+02	1.397108945093392549e+03	1.442305068071647383e+03	1.313995692428217126e+03	1.594530650897427222e+03
1.371200000000000045e+02	1.396316497021081659e+03	1.441184405998493730e+03	1.312931015338977886e+03	1.593568496039375759e+03
